id,supplier_name,contact_person,product_name,price,purchase_date,quantity
1,Поставщик А,10000.0,Товар 1,100.00,2023-01-15,10
2,Поставщик А,15050.0,Товар 2,150.50,2023-01-20,5
3,Поставщик Б,9500.0,Товар 1,95.00,2023-01-25,15
4,Поставщик Б,20000.0,Товар 3,200.00,2023-01-30,8
5,Поставщик В,12000.0,Товар 2,120.00,2023-02-01,20
6,Поставщик В,25000.0,Товар 4,250.00,2023-02-05,3
9,Поставщик Д,13000.0,Товар 3,130.00,2023-02-20,10
10,Поставщик Д,22000.0,Товар 5,220.00,2023-02-25,6
13,Поставщик Ж,11500.0,Товар 4,115.00,2023-03-10,9
14,Поставщик Ж,12500.0,Товар 2,125.00,2023-03-15,11
