"id","supplier_name","contact_person","contact_email","contact_phone","product_name","price","purchase_date","quantity"
"1","Поставщик А","Иван Иванов","ivan@supplierA.com","123-456-7890","Товар 1","100.00","2023-01-15","10"
"2","Поставщик А","Иван Иванов","ivan@supplierA.com","123-456-7890","Товар 2","150.50","2023-01-20","5"
"3","Поставщик Б","Петр Петров","petr@supplierB.com","123-456-7891","Товар 1","95.00","2023-01-25","15"
"4","Поставщик Б","Петр Петров","petr@supplierB.com","123-456-7891","Товар 3","200.00","2023-01-30","8"
"5","Поставщик В","Сергей Сергеев","sergey@supplierC.com","123-456-7892","Товар 2","120.00","2023-02-01","20"
"6","Поставщик В","Сергей Сергеев","sergey@supplierC.com","123-456-7892","Товар 4","250.00","2023-02-05","3"
"7","Поставщик Г","Анна Аннова","anna@supplierD.com","123-456-7893","Товар 1","110.00","2023-02-10","7"
"8","Поставщик Г","Анна Аннова","anna@supplierD.com","123-456-7893","Товар 2","140.00","2023-02-15","12"
"9","Поставщик Д","Олег Олегов","oleg@supplierE.com","123-456-7894","Товар 3","130.00","2023-02-20","10"
"10","Поставщик Д","Олег Олегов","oleg@supplierE.com","123-456-7894","Товар 5","220.00","2023-02-25","6"
"11","Поставщик Е","Дмитрий Дмитриев","dmitry@supplierF.com","123-456-7895","Товар 1","105.00","2023-03-01","14"
"12","Поставщик Е","Дмитрий Дмитриев","dmitry@supplierF.com","123-456-7895","Товар 6","300.00","2023-03-05","4"
"13","Поставщик Ж","Елена Еленовна","elena@supplierG.com","123-456-7896","Товар 4","115.00","2023-03-10","9"
"14","Поставщик Ж","Елена Еленовна","elena@supplierG.com","123-456-7896","Товар 2","125.00","2023-03-15","11"
"15","Поставщик З","Михаил Михайлов","mikhail@supplierH.com","123-456-7897","Товар 7","160.00","2023-03-20","8"
"16","Поставщик З","Михаил Михайлов","mikhail@supplierH.com","123-456-7897","Товар 8","180.00","2023-03-25","5"
